97,114,1
99,115,2
97,117,3
98,118,4
97,119,5
97,120,6
95,121,7
94,122,8
94,123,9
93,123,10
93,124,11
90,123,12
87,122,13
87,123,14
85,121,15
84,120,16
82,119,17
83,123,18
80,116,19
79,115,20
79,117,21
78,112,22
77,111,23
76,109,24
77,104,25
75,106,26
77,99,27
77,97,28
78,95,29
78,93,30
78,92,31
83,86,32
83,85,33
82,85,34
87,81,35
88,80,36
92,78,37
94,77,38
97,76,39
101,75,40
105,75,41
108,76,42
109,75,43
114,77,44
116,77,45
118,78,46
125,84,47
123,81,48
130,89,49
133,94,50
133,92,51
133,91,52
137,103,53
138,104,54
139,104,55
140,115,56
141,119,57
141,120,58
140,130,59
141,128,60
140,134,61
137,143,62
135,148,63
133,152,64
132,154,65
123,164,66
124,164,67
122,166,68
118,169,69
111,173,70
109,175,71
100,177,72
98,178,73
86,178,74
88,179,75
79,178,76
71,175,77
72,176,78
63,172,79
61,171,80
54,165,81
54,166,82
44,154,83
43,154,84
41,152,85
35,139,86
32,132,87
32,133,88
29,121,89
28,114,90
27,107,91
27,103,92
28,92,93
28,89,94
31,76,95
35,66,96
39,58,97
40,56,98
46,47,99
52,41,100
58,35,101
57,35,102
65,29,103
74,24,104
86,20,105
84,20,106
98,18,107
98,17,108
107,17,109
116,18,110
121,19,111
128,21,112
141,27,113
146,30,114
151,34,115
165,48,116
157,38,117
167,49,118
176,64,119
180,72,120
183,79,121
183,77,122
189,103,123
190,107,124
191,114,125
191,122,126
191,128,127
95,112,128
94,113,129
93,111,130
92,109,131
92,108,132
91,108,133
93,105,134
94,103,135
94,102,136
94,101,137
93,101,138
95,99,139
97,98,140
98,98,141
99,97,142
100,96,143
103,96,144
100,94,145
107,97,146
108,97,147
108,96,148
111,98,149
113,100,150
115,102,151
116,102,152
118,106,153
118,104,154
119,107,155
120,109,156
121,112,157
122,113,158
122,119,159
121,126,160
123,122,161
122,127,162
122,129,163
119,136,164
119,137,165
118,139,166
113,145,167
114,145,168
112,147,169
112,148,170
102,153,171
104,153,172
99,155,173
95,156,174
94,157,175
86,156,176
82,155,177
84,157,178
82,157,179
71,151,180
71,152,181
68,150,182
65,148,183
58,139,184
61,145,185
55,135,186
52,130,187
50,125,188
49,123,189
48,121,190
47,111,191
46,111,192
47,98,193
47,93,194
47,91,195
48,87,196
51,79,197
51,76,198
57,67,199
57,66,200
66,56,201
64,57,202
71,51,203
72,50,204
83,44,205
88,42,206
92,41,207
99,40,208
98,39,209
114,41,210
116,41,211
116,40,212
126,44,213
134,48,214
132,46,215
141,53,216
150,62,217
153,65,218
152,62,219
162,80,220
163,82,221
166,88,222
168,94,223
170,108,224
171,111,225
172,115,226
170,136,227
171,134,228
170,141,229
167,152,230
166,156,231
160,169,232
158,173,233
151,182,234
150,185,235
146,190,236
139,196,237
132,201,238
126,205,239
117,209,240
112,211,241
