0.000572	0.000972
0.132916	0.234122
0.214088	0.322331
0.257444	0.43544
0.276616	0.576573
0.284613	0.740798
0.291642	0.9091
0.300654	1.065626
0.309635	1.214329
0.317299	1.362491
0.323951	1.512583
0.330205	1.662251
0.336043	1.809189
0.34146	1.9533
0.346539	2.095117
0.351304	2.234948
0.355879	2.372814
0.360264	2.508507
0.364393	2.641959
0.368357	2.773299
0.372158	2.902501
0.375791	3.029607
0.379318	-3.128489
0.382707	-3.005453
0.38597	-2.884392
0.389145	-2.765244
0.392205	-2.648029
0.395172	-2.532656
0.398068	-2.419083
0.400864	-2.307314
0.403591	-2.197254
0.406254	-2.088882
0.408834	-1.982181
0.411361	-1.877067
0.413828	-1.773531
0.416228	-1.671537
0.418584	-1.571018
0.420884	-1.471971
0.423131	-1.374347
0.42534	-1.278098
0.427497	-1.183217
0.429612	-1.089651
0.431692	-0.997367
0.433725	-0.906354
0.435723	-0.81656
0.437689	-0.727962
0.439614	-0.640545
0.44151	-0.554259
0.443375	-0.469093
0.445204	-0.385021
0.447008	-0.302004
0.448782	-0.220034
0.450526	-0.139082
0.452248	-0.059117
0.45394	0.01987
0.455608	0.097909
0.457255	0.175024
0.458875	0.251224
0.460474	0.326539
0.462052	0.400986
0.463606	0.474577
0.465141	0.54734
0.466657	0.619286
0.468151	0.690431
0.469629	0.760799
0.471087	0.830398
0.472527	0.899247
0.473951	0.967364
0.475356	1.034758
0.476746	1.101446
0.47812	1.167445
0.479477	1.232761
0.48082	1.297414
0.482149	1.361415
0.483462	1.424774
0.484762	1.487507
0.486048	1.549624
0.487319	1.611134
0.488578	1.672052
0.489824	1.732387
0.491057	1.79215
0.492279	1.851353
0.493488	1.910002
0.494686	1.96811
0.495873	2.025686
0.497047	2.082738
0.49821	2.139276
0.499363	2.195311
0.500505	2.250847
0.501637	2.305896
0.502759	2.360466
0.503871	2.414563
0.504973	2.468197
0.506066	2.521375
0.507149	2.574102
0.508224	2.62639
0.509288	2.678242
0.510344	2.729667
0.511392	2.780672
