0.000572	0.000972
0.143121	0.241985
0.22535	0.342801
0.265118	0.474846
0.28049	0.640216
0.287817	0.826138
0.296944	1.004334
0.307046	1.170126
0.315878	1.332665
0.323309	1.497565
0.330206	1.662269
0.336602	1.823736
0.342503	1.981856
0.347997	2.137289
0.353153	2.290364
0.358104	2.440972
0.362767	2.588862
0.367184	2.734146
0.371414	2.876863
0.375434	3.017017
0.379319	-3.128458
0.383039	-2.993228
0.386613	-2.860376
0.390078	-2.729845
0.393401	-2.601629
0.396632	-2.475607
0.399757	-2.351775
0.40278	-2.230058
0.405729	-2.110383
0.40858	-1.99274
0.411362	-1.877028
0.414071	-1.763224
0.416703	-1.651276
0.419282	-1.541109
0.421789	-1.432714
0.424242	-1.326009
0.426642	-1.220965
0.428982	-1.117543
0.43128	-1.015678
0.433524	-0.915356
0.435724	-0.816515
0.437884	-0.719123
0.439996	-0.623152
0.442075	-0.528546
0.444111	-0.435289
0.44611	-0.343335
0.448078	-0.25265
0.450006	-0.163216
0.451906	-0.074984
0.453773	0.012062
0.455609	0.097958
0.45742	0.182734
0.459198	0.266406
0.460951	0.349014
0.462678	0.430573
0.464377	0.511111
0.466055	0.590656
0.467706	0.66922
0.469336	0.746838
0.470944	0.823524
0.472528	0.899298
0.474093	0.974188
0.475636	1.048203
0.477161	1.12137
0.478666	1.193704
0.480152	1.265222
0.481621	1.335946
0.483071	1.405886
0.484504	1.475063
0.485921	1.543493
0.48732	1.611187
0.488704	1.678166
0.490073	1.744439
0.491426	1.810023
0.492765	1.874933
0.494089	1.939177
0.4954	2.002774
0.496697	2.065731
0.497979	2.128064
0.499249	2.189785
0.500506	2.250902
0.501751	2.31143
0.502984	2.371378
0.504204	2.430757
0.505413	2.489579
0.50661	2.54785
0.507796	2.605584
0.508971	2.662788
0.510135	2.719472
0.511289	2.775647
0.512432	2.831318
0.513566	2.886497
0.514689	2.941191
0.515803	2.995407
0.516907	3.049157
0.518001	3.102444
0.519087	-3.127907
0.520163	-3.075518
0.521231	-3.023569
0.52229	-2.972049
0.52334	-2.920955
0.524382	-2.870279
0.525416	-2.820012
0.526442	-2.770152
0.52746	-2.720689
